POL_ID;INS_AGE;INS_GENDER;POL_EFF_DT;POL_TRMNT_DT;CAR_USE;CAR_TYPE;INS_AREA;CLM_FREQ; TOTAL_CLM_AMNT 
ADF0000045154;63;M;28/03/00;00/01/00;Private;SUV;Urban;1; 337.000 
GDF0000045155;78;M;07/11/00;00/01/00;Private;Minivan;Urban;1; 546.000 
GDF0000045156;30;F;08/08/00;00/01/00;Commercial;Pickup;Urban;2; 285.000 
TDF0000045157;19;M;14/11/00;00/01/00;Private;Minivan;Rural;1; 417.000 
SDF0000045158;61;M;01/05/00;00/01/00;Private;Sports Car;Rural;1; 98.000 
KDF0000045159;25;M;19/09/00;00/01/00;Commercial;Pickup;Urban;1; 323.000 
SDF0000045160;34;F;02/02/00;00/01/00;Private;Minivan;Urban;1; 89.000 
ADF0000045161;29;F;18/05/00;00/01/00;Private;SUV;Urban;1; 179.000 
KDF0000045162;71;M;22/06/00;00/01/00;Private;Sports Car;Urban;1; 621.000 
ADF0000045163;56;F;17/05/00;00/01/00;Private;Minivan;Urban;3; 12.000 
KDF0000045164;26;F;26/05/00;00/01/00;Commercial;Van;Rural;1; 515.000 
GDF0000045165;25;M;17/01/00;00/01/00;Private;Sports Car;Rural;1; 277.000 
SDF0000045166;53;M;27/12/00;00/01/00;Commercial;Truck;Rural;1; 16.000 
SDF0000045167;80;F;25/09/00;00/01/00;Private;Sports Car;Urban;1; 306.000 
KDF0000045168;51;M;05/09/00;00/01/00;Private;SUV;Urban;2; 304.000 
KDF0000045169;38;F;26/10/00;00/01/00;Private;Sports Car;Rural;3; 411.000 
SDF0000045170;65;F;05/01/00;00/01/00;Private;SUV;Urban;1; 613.000 
KDF0000045171;45;M;25/05/00;00/01/00;Private;SUV;Rural;1; 41.000 
SDF0000045172;48;M;15/04/00;00/01/00;Private;Minivan;Urban;3; 227.000 
GDF0000045173;65;F;04/12/00;00/01/00;Private;Sports Car;Rural;1; 177.000 
KDF0000045174;20;F;20/07/00;00/01/00;Private;Minivan;Urban;1; 437.000 
SDF0000045175;47;M;16/04/00;00/01/00;Private;SUV;Urban;1; 416.000 
GDF0000045176;79;F;05/04/00;00/01/00;Commercial;Truck;Urban;1; 613.000 
GDF0000045177;80;M;15/08/00;00/01/00;Private;Sports Car;Rural;3; 318.000 
TDF0000045178;42;F;30/04/00;00/01/00;Private;Van;Rural;1; 294.000 
GDF0000045179;72;F;22/12/00;00/01/00;Private;Sports Car;Urban;3; 671.000 
ADF0000045180;76;M;10/02/00;00/01/00;Private;SUV;Urban;1; 455.000 
KDF0000045181;29;F;23/02/00;00/01/00;Commercial;Minivan;Urban;1; 637.000 
KDF0000045182;40;M;22/03/00;00/01/00;Commercial;Pickup;Urban;3; 675.000 
ADF0000045183;75;F;07/05/00;00/01/00;Private;Minivan;Rural;1; 92.000 
TDF0000045184;65;M;28/06/00;00/01/00;Private;SUV;Urban;2; 88.000 
TDF0000045185;33;F;28/06/00;00/01/00;Commercial;Pickup;Rural;1; 62.000 
KDF0000045186;38;F;27/11/00;00/01/00;Private;Minivan;Rural;1; 327.000 
SDF0000045187;63;F;14/04/00;00/01/00;Commercial;Pickup;Urban;1; 305.000 
GDF0000045188;36;M;02/12/00;00/01/00;Private;Sports Car;Urban;2; 584.000 
KDF0000045189;75;F;09/07/00;00/01/00;Commercial;Pickup;Urban;1; 606.000 
GDF0000045190;67;F;06/04/00;00/01/00;Private;Minivan;Rural;1; 479.000 
ADF0000045191;68;F;12/04/00;00/01/00;Private;SUV;Urban;1; 329.000 
ADF0000045192;52;F;24/06/00;00/01/00;Private;SUV;Urban;1; 547.000 
TDF0000045193;55;F;15/11/00;00/01/00;Private;SUV;Urban;1; 473.000 
ADF0000045194;61;F;16/10/00;00/01/00;Private;Van;Urban;2; 183.000 
ADF0000045195;60;F;07/03/00;00/01/00;Private;Minivan;Urban;1; 357.000 
GDF0000045196;72;F;18/01/00;00/01/00;Private;Pickup;Rural;1; 30.000 
TDF0000045197;62;F;13/05/00;00/01/00;Commercial;SUV;Rural;1; 275.000 
GDF0000045198;27;M;20/02/00;00/01/00;Private;Pickup;Urban;1; 197.000 
KDF0000045199;67;M;21/06/00;00/01/00;Private;Van;Urban;1; 18.000 
TDF0000045200;76;F;01/12/00;00/01/00;Private;Sports Car;Urban;1; 605.000 
ADF0000045201;66;M;22/10/00;00/01/00;Commercial;Truck;Urban;1; 679.000 
SDF0000045202;69;M;15/10/00;00/01/00;Private;SUV;Urban;3; 507.000 
SDF0000045203;43;M;07/11/00;00/01/00;Commercial;Minivan;Urban;3; 193.000 
SDF0000045204;69;M;04/07/00;00/01/00;Private;SUV;Urban;1; 679.000 
KDF0000045205;59;F;08/01/00;00/01/00;Commercial;Truck;Urban;1; 83.000 
TDF0000045206;65;M;02/02/00;00/01/00;Private;SUV;Rural;1; 589.000 
KDF0000045207;22;F;01/04/00;00/01/00;Private;SUV;Urban;1; 18.000 
TDF0000045208;68;F;05/01/00;00/01/00;Private;SUV;Urban;1; 444.000 
KDF0000045209;79;M;20/03/00;00/01/00;Commercial;Pickup;Urban;1; 572.000 
GDF0000045210;55;M;10/07/00;00/01/00;Private;Van;Urban;1; 589.000 
KDF0000045211;40;F;05/09/00;00/01/00;Commercial;Minivan;Urban;1; 530.000 
KDF0000045212;73;M;02/07/00;00/01/00;Private;SUV;Urban;1; 20.000 
GDF0000045213;73;F;20/10/00;00/01/00;Commercial;Van;Urban;1; 614.000 
TDF0000045214;21;M;26/02/00;00/01/00;Commercial;Minivan;Urban;1; 26.000 
KDF0000045215;37;F;21/05/00;00/01/00;Private;Sports Car;Urban;3; 95.000 
SDF0000045216;57;F;02/08/00;00/01/00;Commercial;Pickup;Urban;1; 111.000 
SDF0000045217;35;M;06/07/00;00/01/00;Commercial;Pickup;Rural;1; 658.000 
GDF0000045218;77;F;22/06/00;00/01/00;Private;Minivan;Rural;1; 529.000 
GDF0000045219;34;F;09/05/00;00/01/00;Private;Sports Car;Urban;1; 219.000 
GDF0000045220;58;F;25/04/00;00/01/00;Private;SUV;Urban;1; 84.000 
TDF0000045221;70;F;19/02/00;00/01/00;Commercial;Pickup;Urban;1; 592.000 
GDF0000045222;65;M;07/02/00;00/01/00;Commercial;Pickup;Urban;3; 35.000 
SDF0000045223;28;F;22/08/00;00/01/00;Private;SUV;Urban;1; 407.000 
ADF0000045224;41;F;26/10/00;00/01/00;Private;SUV;Urban;1; 358.000 
KDF0000045225;40;M;14/01/00;00/01/00;Commercial;Minivan;Rural;1; 257.000 
GDF0000045226;76;M;28/02/00;00/01/00;Private;Pickup;Urban;1; 470.000 
ADF0000045227;40;M;05/12/00;00/01/00;Private;Minivan;Rural;1; 221.000 
ADF0000045228;26;M;23/03/00;00/01/00;Commercial;Minivan;Urban;1; 110.000 
TDF0000045229;35;F;28/08/00;00/01/00;Private;SUV;Urban;2; 129.000 
KDF0000045230;47;F;12/11/00;00/01/00;Commercial;Minivan;Urban;1; 680.000 
ADF0000045231;23;F;07/12/00;00/01/00;Private;SUV;Urban;1; 709.000 
TDF0000045232;76;F;01/06/00;00/01/00;Private;Minivan;Urban;1; 418.000 
TDF0000045233;18;M;28/03/00;00/01/00;Private;Minivan;Rural;3; 22.000 
KDF0000045234;27;M;05/02/00;00/01/00;Private;SUV;Urban;2; 402.000 
SDF0000045235;25;F;28/08/00;00/01/00;Commercial;Pickup;Rural;1; 226.000 
TDF0000045236;40;M;31/05/00;00/01/00;Commercial;Van;Urban;3; 651.000 
ADF0000045237;48;M;01/10/00;00/01/00;Private;SUV;Rural;1; 505.000 
ADF0000045238;69;M;27/04/00;00/01/00;Private;SUV;Urban;1; 11.000 
KDF0000045239;51;F;01/09/00;00/01/00;Private;SUV;Urban;1; 358.000 
SDF0000045240;50;F;04/01/00;00/01/00;Commercial;SUV;Urban;1; 132.000 
ADF0000045241;61;M;13/05/00;00/01/00;Private;Sports Car;Urban;1; 638.000 
GDF0000045242;25;M;20/03/00;00/01/00;Commercial;Minivan;Urban;4; 525.000 
SDF0000045243;43;F;12/01/00;00/01/00;Commercial;Truck;Urban;1; 70.000 
KDF0000045244;70;M;15/02/00;00/01/00;Private;Minivan;Urban;1; 383.000 
KDF0000045245;61;F;12/02/00;00/01/00;Commercial;Pickup;Urban;1; 453.000 
TDF0000045246;61;M;05/04/00;00/01/00;Private;Pickup;Urban;2; 237.000 
TDF0000045247;36;F;14/07/00;00/01/00;Commercial;Pickup;Urban;3; 544.000 
GDF0000045248;40;M;02/04/00;00/01/00;Commercial;Van;Urban;1; 280.000 
GDF0000045249;56;F;20/11/00;00/01/00;Private;Minivan;Urban;1; 569.000 
GDF0000045250;56;F;01/02/00;00/01/00;Private;Minivan;Urban;3; 146.000 
ADF0000045251;49;M;06/08/00;00/01/00;Private;Sports Car;Urban;3; 324.000 
GDF0000045252;53;M;23/03/00;00/01/00;Commercial;Pickup;Rural;1; 42.000 
KDF0000045253;68;M;26/01/00;00/01/00;Commercial;Sports Car;Urban;3; 666.000 
TDF0000045254;65;F;29/10/00;00/01/00;Private;Minivan;Urban;1; 470.000 
TDF0000045255;73;M;04/09/00;00/01/00;Commercial;Van;Urban;1; 601.000 
SDF0000045256;76;M;10/04/00;00/01/00;Private;Sports Car;Urban;1; 526.000 
SDF0000045257;80;F;19/04/00;00/01/00;Private;Minivan;Urban;2; 615.000 
TDF0000045258;67;F;04/04/00;00/01/00;Private;SUV;Rural;1; 370.000 
TDF0000045259;23;M;06/04/00;00/01/00;Commercial;Truck;Urban;2; 652.000 
SDF0000045260;34;M;27/04/00;00/01/00;Commercial;Pickup;Rural;1; 286.000 
TDF0000045261;24;F;18/07/00;00/01/00;Commercial;Minivan;Urban;1; 203.000 
KDF0000045262;36;F;18/10/00;00/01/00;Private;Sports Car;Urban;2; 73.000 
ADF0000045263;53;F;04/07/00;00/01/00;Private;Minivan;Urban;1; 239.000 
ADF0000045264;62;M;27/10/00;00/01/00;Private;SUV;Urban;1; 94.000 
ADF0000045265;22;F;04/04/00;00/01/00;Private;SUV;Urban;1; 292.000 
KDF0000045266;68;F;27/08/00;00/01/00;Commercial;Truck;Urban;2; 91.000 
SDF0000045267;31;M;28/01/00;00/01/00;Private;SUV;Urban;1; 437.000 
TDF0000045268;42;M;13/10/00;00/01/00;Private;SUV;Urban;1; 55.000 
ADF0000045269;60;M;19/09/00;00/01/00;Private;Pickup;Urban;1; 383.000 
SDF0000045270;79;M;16/09/00;00/01/00;Commercial;SUV;Urban;2; 174.000 
GDF0000045271;76;M;28/07/00;00/01/00;Private;Minivan;Urban;2; 156.000 
GDF0000045272;20;F;26/06/00;00/01/00;Private;Sports Car;Urban;2; 279.000 
TDF0000045273;58;M;04/02/00;00/01/00;Commercial;SUV;Urban;3; 688.000 
SDF0000045274;70;M;13/08/00;00/01/00;Private;SUV;Urban;1; 166.000 
GDF0000045275;45;F;30/11/00;00/01/00;Private;SUV;Urban;1; 253.000 
TDF0000045276;22;M;23/02/00;00/01/00;Commercial;Truck;Urban;2; 128.000 
TDF0000045277;74;F;09/06/00;00/01/00;Private;Sports Car;Urban;2; 687.000 
GDF0000045278;47;M;31/05/00;00/01/00;Commercial;SUV;Urban;2; 387.000 
GDF0000045279;25;F;17/07/00;00/01/00;Private;SUV;Urban;1; 257.000 
